Statistical profiling result from v8.log, (98761 ticks, 525 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
    525    0.5%

 [Shared libraries]:
   ticks  total  nonlib   name
     13    0.0%    0.0%  Handler: readUInt8 {1}
     13    0.0%    0.0%  Handler: opcode {3}
     13    0.0%    0.0%  Handler: concatBuffers
     12    0.0%    0.0%  Stub: GrowArrayElementsStub
     12    0.0%    0.0%  Stub: CompareICStub {12}
     12    0.0%    0.0%  StorePolymorphicIC: _buffer
     12    0.0%    0.0%  RegExp: ^[a-zA-Z0-9_!#$%&'*+.^`|~-]+$
     12    0.0%    0.0%  LazyCompile: ~unrefTimer net.js:175:51
     12    0.0%    0.0%  LazyCompile: ~InnerArrayJoin native array.js:317:24
     12    0.0%    0.0%  LazyCompile: ~Bot.connect /opt/box/bot.js:63:33
     12    0.0%    0.0%  LazyCompile: ~<anonymous> /opt/box/node_modules/ws/lib/Extensions.js:60:35
     12    0.0%    0.0%  LazyCompile: ~<anonymous> /opt/box/node_modules/ws/lib/Extensions.js:55:41
     12    0.0%    0.0%  LazyCompile: *valueOf native date.js:236:21
     12    0.0%    0.0%  LazyCompile: *exports.createConnection /opt/box/node_modules/socks/lib/socks-client.js:39:41
     12    0.0%    0.0%  LazyCompile: *exports._unrefActive timers.js:599:32
     12    0.0%    0.0%  LazyCompile: *ReadableState _stream_readable.js:15:23
     12    0.0%    0.0%  Handler: readSInt16LE {1}
     11    0.0%    0.0%  Stub: LoadFieldStub {4}
     11    0.0%    0.0%  Stub: LoadFieldStub {18}
     11    0.0%    0.0%  Stub: FastNewContextStub {5}
     11    0.0%    0.0%  Stub: CompareICStub {8}
     11    0.0%    0.0%  Stub: CompareICStub {20}
     11    0.0%    0.0%  StorePolymorphicIC: _changeFactor {1}
     11    0.0%    0.0%  StorePolymorphicIC: _buffer {2}
     11    0.0%    0.0%  LazyCompile: ~emitPendingUnhandledRejections node.js:493:44
     11    0.0%    0.0%  LazyCompile: ~Socket._destroy net.js:436:37
     11    0.0%    0.0%  LazyCompile: nextTickCallbackWith2Args node.js:438:39
     11    0.0%    0.0%  LazyCompile: *map native array.js:1022:18
     11    0.0%    0.0%  LazyCompile: *addListener events.js:191:58
     11    0.0%    0.0%  LazyCompile: *WebSocket /opt/box/node_modules/ws/lib/WebSocket.js:46:19
     11    0.0%    0.0%  LazyCompile: *EventEmitter events.js:5:22
     11    0.0%    0.0%  LazyCompile: *Buffer.readUInt8 buffer.js:657:38
     11    0.0%    0.0%  Handler: setCords
     11    0.0%    0.0%  Handler: protocolVersion {1}
     11    0.0%    0.0%  Handler: opcode {5}
     11    0.0%    0.0%  Handler: masked {8}
     11    0.0%    0.0%  Handler: error {59}
     11    0.0%    0.0%  Handler: error {56}
     11    0.0%    0.0%  Handler: error {28}
     10    0.0%    0.0%  Stub: LoadFieldStub {5}
     10    0.0%    0.0%  Stub: InternalArrayConstructorStub
     10    0.0%    0.0%  RegExp: ^[+a-z0-9A-Z_-]{0\,63}$
     10    0.0%    0.0%  LazyCompile: ~slowToString buffer.js:333:22
     10    0.0%    0.0%  LazyCompile: ~realHandler /opt/box/node_modules/ws/lib/WebSocket.js:799:23
     10    0.0%    0.0%  LazyCompile: ~byteLength buffer.js:260:20
     10    0.0%    0.0%  LazyCompile: ~<anonymous> /opt/box/node_modules/ws/node_modules/options/lib/options.js:11:41
     10    0.0%    0.0%  LazyCompile: onError /opt/box/node_modules/ws/lib/WebSocket.js:425:20
     10    0.0%    0.0%  LazyCompile: Error native messages.js:640:21
     10    0.0%    0.0%  LazyCompile: *Readable.on _stream_readable.js:664:33
     10    0.0%    0.0%  LazyCompile: *IsPrimitive native runtime.js:633:21
     10    0.0%    0.0%  LazyCompile: *Coordinator.restartFOVTimeout /opt/box/coordinator.js:181:51
